Domicile,FA/FSC,English Marks,Offered
OPEN,682,128,Not Offered
OPEN,897,171,Offered_IN_OPEN_QUOTA
OPEN,689,138,Not Offered
OPEN,894,162,Not Offered
OPEN,729,92,Not Offered
OPEN,588,130,Not Offered
OPEN,517,100,Not Offered
OPEN,886,169,Not Offered
OPEN,594,105,Not Offered
OPEN,849,169,Not Offered
OPEN,808,113,Not Offered
OPEN,781,158,Not Offered
OPEN,829,169,Not Offered
OPEN,794,157,Not Offered
OPEN,673,148,Not Offered
OPEN,895,170,Not Offered
OPEN,564,114,Not Offered
OPEN,778,119,Not Offered
Bahawalpur,671,146,Not Offered
OPEN,764,97,Not Offered
OPEN,681,146,Not Offered
OPEN,577,59,Not Offered
OPEN,677,81,Not Offered
OPEN,636,140,Not Offered
OPEN,738,139,Not Offered
OPEN,661,108,Not Offered
OPEN,891,143,Not Offered
OPEN,559,91,Not Offered
OPEN,700,110,Not Offered
OPEN,700,127,Not Offered
OPEN,880,160,Not Offered
OPEN,802,145,Not Offered
Bahawalpur,756,147,Not Offered
OPEN,985,185,Offered_IN_OPEN_QUOTA
OPEN,781,118,Not Offered
OPEN,900,149,Not Offered
OPEN,581,119,Not Offered
OPEN,849,124,Not Offered
OPEN,589,114,Not Offered
OPEN,825,137,Not Offered
OPEN,754,134,Not Offered
OPEN,516,68,Not Offered
OPEN,905,150,Offered_IN_OPEN_QUOTA
OPEN,609,131,Not Offered
OPEN,825,170,Not Offered
OPEN,905,151,Offered_IN_OPEN_QUOTA
OPEN,924,159,Offered_IN_OPEN_QUOTA
OPEN,862,161,Not Offered
OPEN,861,133,Not Offered
OPEN,899,162,Offered_IN_OPEN_QUOTA
OPEN,887,145,Offered_IN_OPEN_QUOTA
OPEN,830,159,Not Offered
OPEN,808,158,Not Offered
OPEN,891,156,Not Offered
OPEN,753,119,Not Offered
Bahawalpur,779,146,Not Offered
Bahawalpur,889,138,Not Offered
Bahawalpur,529,114,Not Offered
OPEN,635,93,Not Offered
OPEN,867,161,Not Offered
OPEN,569,122,Not Offered
Bahawalpur,731,152,Not Offered
Bahawalpur,725,65,Not Offered
Bahawalpur,716,131,Not Offered
OPEN,646,113,Not Offered
OPEN,694,136,Not Offered
OPEN,881,68,Not Offered
OPEN,914,147,Offered_IN_OPEN_QUOTA
OPEN,884,145,Not Offered
OPEN,749,136,Not Offered
Bahawalpur,597,111,Not Offered
OPEN,655,122,Not Offered
OPEN,826,161,Not Offered
OPEN,847,148,Not Offered
OPEN,776,149,Not Offered
OPEN,798,99,Not Offered
Bahawalpur,608,120,Not Offered
OPEN,678,127,Not Offered
OPEN,737,140,Not Offered
OPEN,718,142,Not Offered
OPEN,837,149,Not Offered
OPEN,763,152,Not Offered
OPEN,771,161,Not Offered
OPEN,708,147,Not Offered
OPEN,793,138,Not Offered
OPEN,818,133,Not Offered
OPEN,801,156,Not Offered
OPEN,590,0,Not Offered
