Sr,Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
262,Bahawalpur,,No,66,0,855,0,0,Offered_IN_OPEN_QUOTA
263,Bahawalpur,,No,33,0,523,0,0,Not Offered
264,Bahawalpur,,No,59,0,758,0,0,Offered_IN_BWP_QUOTA
265,Bahawalpur,,No,51,0,616,0,0,Not Offered
266,Bahawalpur,,No,51,0,747,0,0,Not Offered
267,Bahawalpur,,No,41,0,604,0,0,Not Offered
268,Bahawalpur,,No,59,0,766,0,0,Offered_IN_BWP_QUOTA
269,Bahawalpur,,No,76,0,705,0,0,Offered_IN_BWP_QUOTA
270,Bahawalpur,,No,42,0,778,0,0,Offered_IN_BWP_QUOTA
271,Bahawalpur,,No,62,0,821,0,0,Offered_IN_BWP_QUOTA
272,Bahawalpur,,No,52,0,749,0,0,Offered_IN_BWP_QUOTA
273,Bahawalpur,,No,63,0,880,0,0,Offered_IN_OPEN_QUOTA
274,Bahawalpur,,No,48,0,854,0,0,Offered_IN_BWP_QUOTA
275,Bahawalpur,,No,52,0,689,0,0,Not Offered
276,Bahawalpur,,No,44,0,779,0,0,Offered_IN_BWP_QUOTA
277,Bahawalpur,,No,44,0,615,0,0,Not Offered
278,Bahawalpur,,No,56,0,682,0,0,Not Offered
279,Bahawalpur,,No,41,0,610,0,0,Not Offered
280,Bahawalpur,,No,43,0,594,0,0,Not Offered
281,Bahawalpur,,No,41,0,677,0,0,Not Offered
282,Bahawalpur,,No,59,0,644,0,0,Not Offered
283,Bahawalpur,,No,48,0,769,0,0,Offered_IN_BWP_QUOTA
284,Bahawalpur,,No,50,0,858,0,0,Offered_IN_OPEN_QUOTA
285,Bahawalpur,,No,59,0,797,0,0,Offered_IN_BWP_QUOTA
286,Bahawalpur,,No,53,0,529,0,0,Not Offered
287,Bahawalpur,,No,42,0,661,0,0,Not Offered
288,Bahawalpur,,No,59,0,621,0,0,Not Offered
289,Bahawalpur,,No,59,0,519,0,0,Not Offered
290,Bahawalpur,,Yes,40,0,588,0,0,Not Offered
291,Bahawalpur,,No,43,0,678,0,0,Not Offered
292,Bahawalpur,,No,49,0,572,0,0,Not Offered
293,Bahawalpur,,No,42,0,580,0,0,Not Offered
294,Bahawalpur,,No,38,0,659,0,0,Not Offered
295,Bahawalpur,,No,53,0,702,0,0,Not Offered
296,Bahawalpur,,No,41,0,714,0,0,Not Offered
297,Bahawalpur,,No,43,0,584,0,0,Not Offered
298,Bahawalpur,,No,56,0,765,0,0,Offered_IN_BWP_QUOTA
299,Bahawalpur,,No,44,0,702,0,0,Not Offered
300,Bahawalpur,,No,52,0,826,0,0,Offered_IN_BWP_QUOTA
301,Bahawalpur,,No,42,0,690,0,0,Not Offered
302,Bahawalpur,,No,52,0,745,0,0,Not Offered
303,Bahawalpur,,No,42,0,736,0,0,Not Offered
304,Bahawalpur,,No,51,0,682,0,0,Not Offered
305,Bahawalpur,,No,53,0,834,0,0,Offered_IN_BWP_QUOTA
306,Bahawalpur,,No,41,26,923,0,0,Offered_IN_OPEN_QUOTA
307,Bahawalpur,,No,53,0,884,0,0,Offered_IN_OPEN_QUOTA
308,Bahawalpur,,No,56,0,740,0,0,Offered_IN_BWP_QUOTA
309,Bahawalpur,,No,52,0,609,0,0,Not Offered
310,Bahawalpur,,No,42,0,552,0,0,Not Offered
311,Bahawalpur,,No,52,0,788,0,0,Offered_IN_BWP_QUOTA
312,Bahawalpur,,No,54,0,718,0,0,Not Offered
313,Bahawalpur,,No,51,0,778,0,0,Offered_IN_BWP_QUOTA
314,Bahawalpur,,No,43,0,584,0,0,Not Offered
315,Bahawalpur,,No,46,0,596,0,0,Not Offered
316,Bahawalpur,,No,52,0,533,0,0,Not Offered
317,Bahawalpur,,No,49,0,548,0,0,Not Offered
318,Bahawalpur,,No,66,60,925,0,0,Offered_IN_OPEN_QUOTA
319,OPEN,,No,41,0,770,0,0,Not Offered
320,OPEN,,No,42,0,642,0,0,Not Offered
321,OPEN,,No,48,0,704,0,0,Not Offered
322,OPEN,,Yes,15,15,689,0,0,Not Offered
323,OPEN,,No,53,0,838,0,0,Offered_IN_OPEN_QUOTA
324,OPEN,,No,44,0,729,0,0,Not Offered
325,OPEN,,No,42,0,760,0,0,Not Offered
326,OPEN,,No,46,0,925,0,0,Offered_IN_OPEN_QUOTA
327,OPEN,,No,66,0,866,0,0,Offered_IN_OPEN_QUOTA
328,OPEN,,No,39,0,579,0,0,Not Offered
329,OPEN,,No,44,0,695,0,0,Not Offered
330,OPEN,,No,40,0,767,0,0,Not Offered
331,Bahawalpur,,No,53,0,673,0,0,Not Offered
332,OPEN,,No,53,0,805,0,0,Offered_IN_OPEN_QUOTA
333,Bahawalpur,,No,63,0,710,0,0,Not Offered
334,OPEN,,No,36,0,709,0,0,Not Offered
335,Bahawalpur,,No,48,0,743,0,0,Not Offered
336,Bahawalpur,,No,40,0,659,0,0,Not Offered
337,OPEN,,No,40,0,705,0,0,Not Offered
338,OPEN,,No,36,0,638,0,0,Not Offered
339,OPEN,,No,61,0,753,0,0,Offered_IN_OPEN_QUOTA
340,OPEN,,No,46,0,660,0,0,Not Offered
341,OPEN,,Yes,54,0,666,0,0,Not Offered
342,OPEN,,No,41,0,695,0,0,Not Offered
343,OPEN,,No,58,0,618,0,0,Not Offered
344,OPEN,,No,44,0,769,0,0,Not Offered
345,OPEN,,No,43,0,696,0,0,Not Offered
346,OPEN,,No,59,0,885,0,0,Offered_IN_OPEN_QUOTA
347,OPEN,,No,61,0,882,0,0,Offered_IN_OPEN_QUOTA
348,Bahawalpur,,No,44,0,651,0,0,Not Offered
349,OPEN,,No,56,0,814,0,0,Offered_IN_OPEN_QUOTA
350,OPEN,,No,58,0,711,0,0,Not Offered
351,OPEN,,No,46,0,693,0,0,Not Offered
352,OPEN,,No,46,0,675,0,0,Not Offered
353,OPEN,,No,53,0,864,0,0,Offered_IN_OPEN_QUOTA
354,OPEN,,No,47,0,689,0,0,Not Offered
355,OPEN,,No,49,0,755,0,0,Not Offered
356,OPEN,,No,54,0,607,0,0,Not Offered
357,OPEN,,No,47,0,732,0,0,Not Offered
358,OPEN,,No,41,0,604,0,0,Not Offered
359,OPEN,,No,51,0,766,0,0,Not Offered
360,OPEN,,No,60,0,896,0,0,Offered_IN_OPEN_QUOTA
361,OPEN,,No,51,0,793,0,0,Offered_IN_OPEN_QUOTA
362,OPEN,,No,60,0,594,0,0,Not Offered
363,OPEN,,No,51,0,707,0,0,Not Offered
364,OPEN,,No,50,0,855,0,0,Offered_IN_OPEN_QUOTA
365,OPEN,,No,41,0,829,0,0,Offered_IN_OPEN_QUOTA
366,OPEN,,No,44,0,766,0,0,Not Offered
367,OPEN,,No,57,0,827,0,0,Offered_IN_OPEN_QUOTA
368,OPEN,,No,41,0,732,0,0,Not Offered
